PDF,TITLE
2002.11028.pdf,"An Empirical Study of Usages, Updates and Risks of Third-Party Libraries in Java Projects"
2107.05368.pdf,Microsoft Word - 1-A Three Phase Semantic Web Matchmaker
2011.00449.pdf,Improving Cyberbully Detection with User Interaction
1911.04687.pdf,MCPA: Program Analysis as Machine Learning
1110.6288.pdf,Reliability of Computational Experiments on Virtualised Hardware
1105.0251.pdf,Microsoft Word - 9.doc
1608.03367.pdf,Microsoft Word - Low-Earth Orbit Determination from Gravity Gradient Measurements.doc
1810.08167.pdf,Expressing Robot Incapability
2103.10185.pdf,About subordinated generalizations of 3 classical models of option pricing
1408.0131.pdf,A Polling Model with Reneging at Polling Instants
1712.03112.pdf,Effective Extensible Programming: Unleashing Julia on GPUs
1001.2275.pdf,Efficient Candidacy Reduction For Frequent Pattern Mining_ final03
2007.00811.pdf,"Go Wide, Then Narrow: Efficient Training of Deep Thin Networks"
2103.04554.pdf,Exact Gap between Generalization Error and Uniform Convergence in Random Feature Models
1802.08760.pdf,Sensitivity and Generalization in Neural Networks: an Empirical Study
1310.5250.pdf,arXiv:1310.5250v1  [math.NT]  19 Oct 2013
1606.03191.pdf,Fuzzy-Klassen Model for Development Disparities Analysis based on Gross Regional Domestic Product Sector of a Region
2205.10125.pdf,Some neighborhood-related fuzzy covering-based rough set models and their applications for decision making
2102.07115.pdf, Sliced Multi-Marginal Optimal Transport
1911.04291.pdf,Machine Learning-Based Adaptive Receive Filtering: Proof-of-Concept on an SDR Platform
2107.02080.pdf,OTIMIZAÇÃO DE REDES NEURAIS USANDO GSO COOPERATIVOS COM DECAIMENTO DE PESOS
1207.2863.pdf,tetrys_vs_raw_plr.eps
2202.05332.pdf,CP_Artificial Ear_12
1805.02482.pdf,QARC: Video Quality Aware Rate Control for Real-Time Video Streaming based on Deep Reinforcement Learning
2107.10731.pdf,Neural Variational Gradient Descent
2102.09751.pdf,PRICURE: Privacy-Preserving Collaborative Inference in a Multi-Party Setting
1510.05681.pdf,../../../publicacoes/comNetSiCloud15/lossRedundantPath_expDemand240_alpha_5_totalNrServers.eps
2108.07951.pdf,A template for the arxiv style
0803.2615.pdf,arXiv:0803.2615v1  [cs.DS]  18 Mar 2008
1304.2981.pdf,IEEE Paper Template in A4 (V1)
1909.11594.pdf,arXiv:1909.11594v1  [stat.ML]  24 Sep 2019
1811.10833.pdf,GLOBAL STABILIZATION BY MEANS OF
1104.4950.pdf,Microsoft Word - 3
1912.07340.pdf,Formal Analysis of the Biological Circuits using Higher-order-logic Theorem Proving
2109.03139.pdf,An Executable Structural Operational  Formal Semantics for Python
2107.06799.pdf,WAccess - A Web Accessibility Tool based on the latest WCAG 2.2 guidelines
2202.06925.pdf,Hedonic Games and Treewidth Revisited
1911.12595.pdf,Understand Dynamic Regret with Switching Cost for Online Decision Making
1806.06421.pdf,Greedy and Local Ratio Algorithms in the MapReduce Model
1912.02651.pdf,Paper Title (use style: paper title)
1112.4645.pdf,clem.nbs_freq_round.eps
2102.09713.pdf,A Compiler Infrastructure for Accelerator Generators 
2006.12418.pdf,Towards Interpretable Authorship Verification
2107.04771.pdf,Similar Cases Recommendation using Legal Knowledge Graphs
2009.14384.pdf,Development of Word Embeddings for Uzbek Language
1207.2697.pdf,Microsoft Word - 1.doc
1201.2542.pdf,Microsoft Word - 2411vlsics09
1602.07127.pdf,Paper Title (use style: paper title)
2107.01763.pdf,[UPDATED] Thinking Wave Paper - Exploration of increasing driver’s trust
0906.5561.pdf,Computation of Transfer Function with Symbolic Variables 
1003.4063.pdf,Microsoft Word - 24-28
2112.13786.pdf,Approximations for modeling light scattering by spheres with uncertainty in physical parameters
1310.8057.pdf,
1211.0602.pdf,Segmentation of ultrasound images of thyroid nodule for assisting fine needle aspiration cytology
2208.06040.pdf,AAAI Proceedings Template
2106.14719.pdf,arXiv:2106.14719v1  [cs.IT]  28 Jun 2021
1911.09273.pdf,Attention-Informed Mixed-Language Training for Zero-shot Cross-lingual Task-oriented Dialogue Systems
1812.06760.pdf,manuscript_antifragility_final_hk
1305.7485.pdf,untitled
2101.03266.pdf,
2105.11069.pdf,MultiFair: Multi-Group Fairness in Machine Learning
1606.05749.pdf,
1902.04646.pdf,Weighted Tensor Completion for Time-Series Causal Inference
2210.13209.pdf,Response to ``Comment on `Origin of the Curie–von Schweidler law and the fractional capacitor from time-varying capacitance [J. Pow. Sources 532 (2022) 231309]' ''
0906.0861.pdf,Microsoft Word - 7-1-32-Shumeyko.doc
0810.0753.pdf,arXiv:0810.0753v1  [cs.PL]  4 Oct 2008
2005.01562.pdf,arXiv:2005.01562v1  [cs.IT]  4 May 2020
2106.13397.pdf,Pheno-Mapper: An Interactive Toolbox for the Visual Exploration of Phenomics Data
1403.6330.pdf,N_Peakfound.eps
1310.1934.pdf,Discriminative Features via Generalized Eigenvectors
1704.01940.pdf,Structural properties of the set of nonrealizable densities
1608.06559.pdf,Microsoft Word - sf_edcc2016_v4_final.doc
2109.06395.pdf,An Inverse Procedural Modeling Pipeline for SVBRDF Maps
1607.05457.pdf,arXiv:1607.05457v1  [cs.IT]  19 Jul 2016
2102.04579.pdf,Quantum machine learning with adaptive linear optics
1802.03006.pdf,Learning and Querying Fast Generative Models for Reinforcement Learning
2105.05161.pdf,Type of the Paper (Article
1009.4994.pdf,Microsoft Word - Text_cat.doc
2108.04476.pdf,SP-GAN: Sphere-Guided 3D Shape Generation and Manipulation
2002.07646.pdf,"Date of publication xxxx 00, 0000, date of current version xxxx 00, 0000"
1511.08827.pdf,Microsoft Word - Arif-Islamabad.doc
1904.09477.pdf,Preference-based Multiobjective Virtual Machine Placement: A Ceteris Paribus Approach
1701.04907.pdf,Microsoft Word - WSL_OPENCLUSTER-For-ARXIV.docx
2211.08648.pdf,query_time_social.eps
2006.12328.pdf,Siamese Meta-Learning and Algorithm Selection with ‘Algorithm-Performance Personas’ [Proposal]
2212.12024.pdf,"Playing Safe, Ten Years Later"
1812.06722.pdf,%
2102.13068.pdf,Truncated Log-concave Sampling with Reflective Hamiltonian Monte Carlo
1810.05759.pdf,Topological Inference of Manifolds with Boundary
2004.01463.pdf,Interpolation of Dense and Sparse Rational Functions and other Improvements in FireFly
2009.02351.pdf,Risk-Averse Optimization for Resilience Enhancement of Complex Engineering Systems under Uncertainties
1004.3395.pdf,arXiv:1004.3395v1  [cs.DC]  20 Apr 2010
0708.3811.pdf,Microsoft Word - MMT_Mazen.doc
1305.5566.pdf,The most controversial topics in Wikipedia:
2204.09601.pdf,Microsoft Word - NLP4SleepAD-AMIA_draft_v3.docx
2003.05026.pdf,super-reflective.pages
