TITLE,PDF
,1801.00101.pdf
,2201.10138.pdf
,2001.09320.pdf
,1708.04060.pdf
"An Empirical Study of Usages, Updates and Risks of Third-Party Libraries in Java Projects",2002.11028.pdf
,1005.5734.pdf
,2005.06057.pdf
,2109.12629.pdf
,2110.05015.pdf
Microsoft Word - 1-A Three Phase Semantic Web Matchmaker,2107.05368.pdf
,1305.1745.pdf
Improving Cyberbully Detection with User Interaction,2011.00449.pdf
MCPA: Program Analysis as Machine Learning,1911.04687.pdf
,2009.02909.pdf
,2111.07897.pdf
,1807.03135.pdf
,1708.05155.pdf
,1305.3849.pdf
,2106.08777.pdf
,1910.14095.pdf
,1809.05590.pdf
Reliability of Computational Experiments on Virtualised Hardware,1110.6288.pdf
,1906.06366.pdf
,2106.03891.pdf
,2103.06581.pdf
,1911.06632.pdf
Microsoft Word - 9.doc,1105.0251.pdf
,1606.01740.pdf
,2105.01746.pdf
Microsoft Word - Low-Earth Orbit Determination from Gravity Gradient Measurements.doc,1608.03367.pdf
,2109.06610.pdf
,1704.05391.pdf
,1408.0699.pdf
,1905.01482.pdf
,2301.05065.pdf
Expressing Robot Incapability,1810.08167.pdf
,2210.16569.pdf
About subordinated generalizations of 3 classical models of option pricing,2103.10185.pdf
A Polling Model with Reneging at Polling Instants,1408.0131.pdf
Effective Extensible Programming: Unleashing Julia on GPUs,1712.03112.pdf
,2012.01520.pdf
,1203.4049.pdf
,2008.12595.pdf
,2011.11746.pdf
Efficient Candidacy Reduction For Frequent Pattern Mining_ final03,1001.2275.pdf
,1512.08757.pdf
,2003.00484.pdf
,1811.09539.pdf
,1711.06771.pdf
,1908.03873.pdf
,2106.01146.pdf
,2203.06855.pdf
"Go Wide, Then Narrow: Efficient Training of Deep Thin Networks",2007.00811.pdf
,2011.05668.pdf
,1911.05289.pdf
,1706.08719.pdf
,2102.07623.pdf
,1908.04851.pdf
,1910.02228.pdf
,1910.02097.pdf
,2007.11308.pdf
,2002.07868.pdf
,2003.10215.pdf
Exact Gap between Generalization Error and Uniform Convergence in Random Feature Models,2103.04554.pdf
,1204.5631.pdf
Sensitivity and Generalization in Neural Networks: an Empirical Study,1802.08760.pdf
,2207.01622.pdf
,1910.01881.pdf
arXiv:1310.5250v1  [math.NT]  19 Oct 2013,1310.5250.pdf
,2004.03873.pdf
,2105.03242.pdf
,1008.1977.pdf
Fuzzy-Klassen Model for Development Disparities Analysis based on Gross Regional Domestic Product Sector of a Region,1606.03191.pdf
Some neighborhood-related fuzzy covering-based rough set models and their applications for decision making,2205.10125.pdf
,2004.05887.pdf
,2106.04561.pdf
 Sliced Multi-Marginal Optimal Transport,2102.07115.pdf
,1903.10064.pdf
Machine Learning-Based Adaptive Receive Filtering: Proof-of-Concept on an SDR Platform,1911.04291.pdf
,2103.03572.pdf
OTIMIZAÇÃO DE REDES NEURAIS USANDO GSO COOPERATIVOS COM DECAIMENTO DE PESOS,2107.02080.pdf
,1108.1510.pdf
,2009.09939.pdf
,1206.6381.pdf
,1806.01175.pdf
tetrys_vs_raw_plr.eps,1207.2863.pdf
,2105.11724.pdf
,1905.02438.pdf
,2103.05170.pdf
,1804.06197.pdf
,1906.02904.pdf
,2112.00494.pdf
CP_Artificial Ear_12,2202.05332.pdf
QARC: Video Quality Aware Rate Control for Real-Time Video Streaming based on Deep Reinforcement Learning,1805.02482.pdf
,2105.06791.pdf
,1512.06840.pdf
,1912.04608.pdf
,2105.10723.pdf
,0708.0741.pdf
,2209.12006.pdf
,1611.07476.pdf
,1704.03065.pdf
,2105.09913.pdf
,2002.03495.pdf
,1601.06524.pdf
,1501.06133.pdf
,1902.01064.pdf
,2104.12229.pdf
,2105.14954.pdf
,2006.00249.pdf
,1708.03950.pdf
,1906.03114.pdf
,1107.1600.pdf
Neural Variational Gradient Descent,2107.10731.pdf
PRICURE: Privacy-Preserving Collaborative Inference in a Multi-Party Setting,2102.09751.pdf
../../../publicacoes/comNetSiCloud15/lossRedundantPath_expDemand240_alpha_5_totalNrServers.eps,1510.05681.pdf
A template for the arxiv style,2108.07951.pdf
,1001.3485.pdf
arXiv:0803.2615v1  [cs.DS]  18 Mar 2008,0803.2615.pdf
,2010.12016.pdf
,2007.02577.pdf
,2004.14797.pdf
,1909.11049.pdf
,2001.06175.pdf
,2011.12107.pdf
,1703.09312.pdf
IEEE Paper Template in A4 (V1),1304.2981.pdf
arXiv:1909.11594v1  [stat.ML]  24 Sep 2019,1909.11594.pdf
,2202.03244.pdf
,1901.00302.pdf
,2110.03628.pdf
,2208.00479.pdf
,1301.7054.pdf
,2109.05712.pdf
,2002.00677.pdf
,1412.7282.pdf
,1412.2929.pdf
,2005.02517.pdf
,1002.1099.pdf
,1303.1912.pdf
,1305.3388.pdf
,2007.03856.pdf
,2104.03114.pdf
,1002.3999.pdf
GLOBAL STABILIZATION BY MEANS OF,1811.10833.pdf
,1902.00528.pdf
Microsoft Word - 3,1104.4950.pdf
,1109.4351.pdf
,1807.04975.pdf
,1504.03256.pdf
